Trade,Category,Objective
Boilermaker,Apprenticeship,"Seeking structured training to assemble, fit, and torque pressure-rated components to spec; day-one focus on safety, rigging signals, and QA logs."
Boilermaker,Apprenticeship,"Ready to learn vessel prep, cutting, and basic weld support while maintaining housekeeping and drop-zone control checklists."
Boilermaker,Apprenticeship,"Motivated to read isometrics with guidance, track parts/heat numbers, and document fit-up measurements."
Boilermaker,Apprenticeship,"Committed to safe material handling, confined-space awareness, and tool control; want progressive responsibility with supervision."
Boilermaker,Apprenticeship,"Aim to support experienced crews on staging, bolting, and gasket installs with accurate counts and sign-offs."
Boilermaker,Job,"Can stage parts, read basic marks, and torque fasteners to spec with recorded readings; strong housekeeping."
Boilermaker,Job,"Support welding teams by prepping joints, purging, and logging fit-up dimensions; maintain consumable inventory."
Boilermaker,Job,"Run hand tools safely, measure cuts, and verify edges; maintain rigging signal practice logs."
Boilermaker,Job,"Track mill certs/heat numbers with accuracy; complete checklists and report variances."
Boilermaker,Job,"Manage debris and egress protection; keep pace with part flow and QA sign-offs."
Bricklayer / BAC Allied (Brick/Tile/Terrazzo/Marble/PCC),Apprenticeship,"Train to mix, stage, and lay units to line/level with joint uniformity; log production counts."
Bricklayer / BAC Allied (Brick/Tile/Terrazzo/Marble/PCC),Apprenticeship,"Learn layout from control lines and maintain continuous mortar quality checks."
Bricklayer / BAC Allied (Brick/Tile/Terrazzo/Marble/PCC),Apprenticeship,"Assist with cutting, back-buttering, and setting per pattern; document square footage set."
Bricklayer / BAC Allied (Brick/Tile/Terrazzo/Marble/PCC),Apprenticeship,"Maintain saw safety, dust control, and cleanup to inspection standards."
Bricklayer / BAC Allied (Brick/Tile/Terrazzo/Marble/PCC),Apprenticeship,"Support grouting and cleanup with verified dilution and dwell times."
Bricklayer / BAC Allied (Brick/Tile/Terrazzo/Marble/PCC),Job,"Stage materials and maintain mortar/plasticity checks; record batch times and set area."
Bricklayer / BAC Allied (Brick/Tile/Terrazzo/Marble/PCC),Job,"Cut/fit pieces to tolerance, verify lines, and keep blade logs."
Bricklayer / BAC Allied (Brick/Tile/Terrazzo/Marble/PCC),Job,"Track piece counts and waste; protect adjacent finishes."
Bricklayer / BAC Allied (Brick/Tile/Terrazzo/Marble/PCC),Job,"Maintain water management and cleanup standards; capture photos (no faces)."
Bricklayer / BAC Allied (Brick/Tile/Terrazzo/Marble/PCC),Job,"Read simple layout marks and keep daily production notes."
Carpenter (General),Apprenticeship,"Learn layout, framing, and fastening to prints; log measurements, fastener counts, and inspections."
Carpenter (General),Apprenticeship,"Support crews with material takeoff, cut lists, and staging while maintaining egress protection."
Carpenter (General),Apprenticeship,"Practice saw setup, blade checks, and cut accuracy within ±1/16"" under supervision."
Carpenter (General),Apprenticeship,"Learn temporary protection and housekeeping that pass walk-through."
Carpenter (General),Apprenticeship,"Document daily tasks with quantities and tool inspections."
Carpenter (General),Job,"Read simple prints, measure, and fasten to tolerance; maintain tool control layout."
Carpenter (General),Job,"Stage lumber/hardware, track counts, and protect egress; capture checklists."
Carpenter (General),Job,"Install blocking, bracing, and sheathing with nail schedule compliance."
Carpenter (General),Job,"Maintain saw/bit logs and blade change records."
Carpenter (General),Job,"Complete punch-list items with documentation."
Carpenter – Interior Systems,Apprenticeship,"Learn layout for track/stud, hang board, and maintain screw patterns per spec."
Carpenter – Interior Systems,Apprenticeship,"Support acoustical/grid installs, verify level, and document tile counts."
Carpenter – Interior Systems,Apprenticeship,"Practice cut accuracy on openings; protect MEP penetrations."
Carpenter – Interior Systems,Apprenticeship,"Maintain laser and tool calibration logs."
Carpenter – Interior Systems,Apprenticeship,"Stage materials for pace without blocking egress."
Carpenter – Interior Systems,Job,"Frame, hang, and finish per schedule/spacing; log quantities installed."
Carpenter – Interior Systems,Job,"Maintain plumb/level records; submit daily notes."
Carpenter – Interior Systems,Job,"Cut around penetrations to tolerance; capture photos (no faces)."
Carpenter – Interior Systems,Job,"Keep blade/bit inventories; verify anchors to spec."
Carpenter – Interior Systems,Job,"Protect finishes; maintain cleanup logs."
Millwright,Apprenticeship,"Learn precision alignment, shimming, torquing, and documentation."
Millwright,Apprenticeship,"Learn rigging with signal practice logs and hardware inspections."
Millwright,Apprenticeship,"Support machinery installs with base leveling and grout prep."
Millwright,Apprenticeship,"Track part numbers and service intervals."
Millwright,Apprenticeship,"Follow lockout/tagout and maintain checklist sign-offs."
Millwright,Job,"Assist with laser alignment and document readings."
Millwright,Job,"Torque and re-check per procedure; record values."
Millwright,Job,"Stage fasteners, gaskets, and tools; verify counts."
Millwright,Job,"Maintain lubrication charts."
Millwright,Job,"Housekeeping and egress protection to inspection standards."
Pile Driver,Apprenticeship,"Learn pile layout, splicing prep, and hammer safety; log rigging checks."
Pile Driver,Apprenticeship,"Maintain fall-zone and drop-zone control checklists."
Pile Driver,Apprenticeship,"Track blow counts and embed depths with supervision."
Pile Driver,Apprenticeship,"Inspect slings/shackles; record tags and dates."
Pile Driver,Apprenticeship,"Support cut-off and cap installs to spec."
Pile Driver,Job,"Stage piles, verify marks, and assist with alignment."
Pile Driver,Job,"Maintain exclusion zones; document signage."
Pile Driver,Job,"Record blow counts/depths daily."
Pile Driver,Job,"Inspect rigging and log replacements."
Pile Driver,Job,"Keep debris clear; protect waterways where required."
Cement Mason,Apprenticeship,"Train in placing, screeding, and finishing with timing logs."
Cement Mason,Apprenticeship,"Learn mix control, slump checks, and curing protection."
Cement Mason,Apprenticeship,"Support edging/jointing to spec; document linear feet."
Cement Mason,Apprenticeship,"Maintain tool clean-down standards."
Cement Mason,Apprenticeship,"Protect adjacent surfaces; capture no-face photos."
Cement Mason,Job,"Place/finish per timing and weather; log setup times."
Cement Mason,Job,"Verify slopes/drains; record measurements."
Cement Mason,Job,"Broom/trowel finishes to spec; document area."
Cement Mason,Job,"Maintain curing application logs."
Cement Mason,Job,"Cleanup and jointing checks."
Drywall Finisher,Apprenticeship,"Learn joint prep, taping, and compound mixes; log coats and dry times."
Drywall Finisher,Apprenticeship,"Sanding with dust control; record grit and PPE."
Drywall Finisher,Apprenticeship,"Patch/feather to tolerance; submit photos (no faces)."
Drywall Finisher,Apprenticeship,"Tool maintenance logs."
Drywall Finisher,Apprenticeship,"Protect floors and adjacent finishes."
Drywall Finisher,Job,"Tape/mud/sand/sand sequence documented; area tracked."
Drywall Finisher,Job,"Mix ratios recorded; equipment clean-down logs."
Drywall Finisher,Job,"Surface inspection checklist completion."
Drywall Finisher,Job,"Dust control verified."
Drywall Finisher,Job,"Punch items resolved with notes."
Electrician – Inside (01),Apprenticeship,"Learn prints, conduit bending, and terminations under supervision; log continuity tests."
Electrician – Inside (01),Apprenticeship,"Practice pull calculations, box fills, and device terminations with checklists."
Electrician – Inside (01),Apprenticeship,"Stage materials and maintain panel schedules."
Electrician – Inside (01),Apprenticeship,"Track torque settings used on lugs."
Electrician – Inside (01),Apprenticeship,"Maintain labeling and as-built notes."
Electrician – Inside (01),Job,"Pull, label, and terminate per print; continuity/insulation logs."
Electrician – Inside (01),Job,"Bend EMT with documented angles; record rework counts."
Electrician – Inside (01),Job,"Maintain panel and circuit directories."
Electrician – Inside (01),Job,"PPE and LOTO awareness sheets maintained."
Electrician – Inside (01),Job,"Housekeeping and egress maintained."
Electrician – Limited Energy (06),Apprenticeship,"Learn low-voltage cabling, labeling, and device terminations; test logs."
Electrician – Limited Energy (06),Apprenticeship,"Read simple risers and maintain as-built notes."
Electrician – Limited Energy (06),Apprenticeship,"Rack/IDF staging, dressing, and labeling."
Electrician – Limited Energy (06),Apprenticeship,"Firestop compliance recorded."
Electrician – Limited Energy (06),Apprenticeship,"Tool control maintained."
Electrician – Limited Energy (06),Job,"Pull/test LV cabling; certify with printout where applicable."
Electrician – Limited Energy (06),Job,"Terminate panels/devices; labeling verified."
Electrician – Limited Energy (06),Job,"Dress racks and maintain bend radius logs."
Electrician – Limited Energy (06),Job,"Document test results and revisions."
Electrician – Limited Energy (06),Job,"Housekeeping in IT spaces maintained."
Electrician – Residential (02),Apprenticeship,"Learn rough-in/trim, device counts, and labeling."
Electrician – Residential (02),Apprenticeship,"Circuit mapping and directory updates."
Electrician – Residential (02),Apprenticeship,"GFCI/AFCI install checklist."
Electrician – Residential (02),Apprenticeship,"Lighting layout verification."
Electrician – Residential (02),Apprenticeship,"PPE and ladder safety logs."
Electrician – Residential (02),Job,"Rough/trim per plan; counts documented."
Electrician – Residential (02),Job,"Test and label circuits with records."
Electrician – Residential (02),Job,"Verify GFCI/AFCI function logs."
Electrician – Residential (02),Job,"Fixture install logs."
Electrician – Residential (02),Job,"Cleanup and protection maintained."
Elevator Constructor,Apprenticeship,"Learn hoistway safety, layout, and rail alignment; log tolerances."
Elevator Constructor,Apprenticeship,"Car assembly support with fastener torque logs."
Elevator Constructor,Apprenticeship,"Wiring to schematics with labeling."
Elevator Constructor,Apprenticeship,"Document inspections and sign-offs."
Elevator Constructor,Apprenticeship,"Maintain housekeeping in hoistway/control rooms."
Elevator Constructor,Job,"Assist rail installs; record plumb/level readings."
Elevator Constructor,Job,"Track torque values and re-checks."
Elevator Constructor,Job,"Stage parts; verify counts."
Elevator Constructor,Job,"Label/control wiring with print tracking."
Elevator Constructor,Job,"Safety checks and logs maintained."
Floor Layer,Apprenticeship,"Learn substrate prep, layout, and adhesives; dwell time logs."
Floor Layer,Apprenticeship,"Cut/fit to pattern; waste and yield tracking."
Floor Layer,Apprenticeship,"Rolling and seam checks recorded."
Floor Layer,Apprenticeship,"Protection/cleanup logs."
Floor Layer,Apprenticeship,"VOC and ventilation notes."
Floor Layer,Job,"Prep/lay to pattern; area and pattern notes."
Floor Layer,Job,"Adhesive use tracked; MSDS notes."
Floor Layer,Job,"Seams rolled/checked; logs kept."
Floor Layer,Job,"Protection installed; photos (no faces)."
Floor Layer,Job,"Punch items resolved."
Glazier,Apprenticeship,"Learn measuring, setting, and sealing; shim logs."
Glazier,Apprenticeship,"Handling with suction devices; inspection logs."
Glazier,Apprenticeship,"Weatherseal application with cure notes."
Glazier,Apprenticeship,"Protection and cleanup maintained."
Glazier,Apprenticeship,"Hardware install counts recorded."
Glazier,Job,"Set panes to tolerance; document shims/packers."
Glazier,Job,"Sealant beads logged (type/date)."
Glazier,Job,"Hardware alignment checks recorded."
Glazier,Job,"Protect and clean framework; notes kept."
Glazier,Job,"Punch items addressed."
Heat & Frost Insulator,Apprenticeship,"Learn measuring, cutting, and fitting insulation; record linear feet."
Heat & Frost Insulator,Apprenticeship,"Vapor barrier installs with seam checks."
Heat & Frost Insulator,Apprenticeship,"Hangers and supports verified."
Heat & Frost Insulator,Apprenticeship,"Tool control and cleanup."
Heat & Frost Insulator,Apprenticeship,"MSDS and PPE logs."
Heat & Frost Insulator,Job,"Install per spec; linear feet tracked."
Heat & Frost Insulator,Job,"Vapor barrier taped/checked; log."
Heat & Frost Insulator,Job,"Supports verified; checklist."
Heat & Frost Insulator,Job,"Housekeeping maintained."
Heat & Frost Insulator,Job,"Punch items recorded."
Ironworker,Apprenticeship,"Learn bolt-up, hand signals, and fall protection checks; torque logs."
Ironworker,Apprenticeship,"Layout from control lines; plumb/level readings noted."
Ironworker,Apprenticeship,"Rigging inspection logs maintained."
Ironworker,Apprenticeship,"Decking and shear stud prep."
Ironworker,Apprenticeship,"Housekeeping and exclusion zones."
Ironworker,Job,"Bolt/torque to spec; record values."
Ironworker,Job,"Verify plumb/level; log."
Ironworker,Job,"Maintain rigging inspections."
Ironworker,Job,"Decking counts and fastener logs."
Ironworker,Job,"Keep housekeeping to inspection standard."
Laborer,Apprenticeship,"Learn site cleanup, egress protection, and debris management logs."
Laborer,Apprenticeship,"Material handling with counts and routes logged."
Laborer,Apprenticeship,"Traffic control support with checklist."
Laborer,Apprenticeship,"Tool staging and inventory logs."
Laborer,Apprenticeship,"PPE and safety meetings documented."
Laborer,Job,"Maintain clear egress; daily checks."
Laborer,Job,"Stage materials; count and track."
Laborer,Job,"Assist crews with tool control."
Laborer,Job,"Traffic/flagging per plan; note times."
Laborer,Job,"Housekeeping standards met."
Operating Engineer,Apprenticeship,"Learn pre-start inspections and hand signals; logs kept."
Operating Engineer,Apprenticeship,"Spotting, trench checks, and grade stakes."
Operating Engineer,Apprenticeship,"Maintenance checks recorded."
Operating Engineer,Apprenticeship,"Exclusion zone control."
Operating Engineer,Apprenticeship,"Load charts awareness notes."
Operating Engineer,Job,"Assist with inspections; sign-offs."
Operating Engineer,Job,"Spot equipment safely; signal logs."
Operating Engineer,Job,"Maintain housekeeping and barricades."
Operating Engineer,Job,"Track minor maintenance tasks."
Operating Engineer,Job,"Document site moves and checks."
Painter,Apprenticeship,"Learn surface prep and masking; tape/area logs."
Painter,Apprenticeship,"Mix/apply coatings per spec; viscosity/time notes."
Painter,Apprenticeship,"Dry times and mil thickness checks."
Painter,Apprenticeship,"Cleanup and VOC notes."
Painter,Apprenticeship,"Punch items documented."
Painter,Job,"Prep/prime/finish per sequence; area tracked."
Painter,Job,"Product mix/use logged."
Painter,Job,"Thickness/dry time checks."
Painter,Job,"Cleanup and protection."
Painter,Job,"Corrections recorded."
Plasterer,Apprenticeship,"Learn lath, scratch/brown/finish sequencing; area/time logs."
Plasterer,Apprenticeship,"Mix ratios and application checks."
Plasterer,Apprenticeship,"Moisture/curing notes."
Plasterer,Apprenticeship,"Tool maintenance."
Plasterer,Apprenticeship,"Cleanup and protection."
Plasterer,Job,"Apply coats per spec; area logged."
Plasterer,Job,"Mix/use recorded."
Plasterer,Job,"Cure/finish checks."
Plasterer,Job,"Cleanup maintained."
Plasterer,Job,"Punch list completed."
Plumber / Steamfitter / HVAC-R,Apprenticeship,"Learn pipe layout, cutting, and joining; pressure test logs."
Plumber / Steamfitter / HVAC-R,Apprenticeship,"Stage valves/fittings; track counts and tags."
Plumber / Steamfitter / HVAC-R,Apprenticeship,"Support brazing/welding prep; purge notes."
Plumber / Steamfitter / HVAC-R,Apprenticeship,"Read simple schematics; update as-builts."
Plumber / Steamfitter / HVAC-R,Apprenticeship,"Refrigerant and EPA 608 study logs (if applicable)."
Plumber / Steamfitter / HVAC-R,Job,"Install supports and pipe to spec; slope/pressure logs."
Plumber / Steamfitter / HVAC-R,Job,"Set equipment per prints; anchor checks."
Plumber / Steamfitter / HVAC-R,Job,"Insulation and labeling recorded."
Plumber / Steamfitter / HVAC-R,Job,"Leak/pressure tests logged."
Plumber / Steamfitter / HVAC-R,Job,"Cleanup and protection standards met."
Roofer,Apprenticeship,"Learn tear-off, deck prep, and underlayment; square footage logs."
Roofer,Apprenticeship,"Shingle/low-slope installs per pattern and fastener schedule."
Roofer,Apprenticeship,"Flashing and penetrations documented."
Roofer,Apprenticeship,"Fall protection and housekeeping logs."
Roofer,Apprenticeship,"Weather monitoring notes."
Roofer,Job,"Install per spec; area and fastener counts."
Roofer,Job,"Flashing details recorded."
Roofer,Job,"Cleanup and protection."
Roofer,Job,"Safety checks maintained."
Roofer,Job,"Punch items resolved."
Sheet Metal,Apprenticeship,"Learn takeoffs, duct fitting, and fastening; leak tests logged."
Sheet Metal,Apprenticeship,"Sealant/tape application notes."
Sheet Metal,Apprenticeship,"Hanger spacing checks recorded."
Sheet Metal,Apprenticeship,"Labeling and airflow arrows."
Sheet Metal,Apprenticeship,"Tool control and cleanup."
Sheet Metal,Job,"Install duct/fittings per spec; pressure/leak logs."
Sheet Metal,Job,"Seal/insulate with recorded materials."
Sheet Metal,Job,"Hangers verified; checklist."
Sheet Metal,Job,"Label and document."
Sheet Metal,Job,"Housekeeping maintained."
Sprinkler Fitter,Apprenticeship,"Learn layout from plans; hanger spacing checks."
Sprinkler Fitter,Apprenticeship,"Threading/cutting with burr checks."
Sprinkler Fitter,Apprenticeship,"Hydrostatic test logs."
Sprinkler Fitter,Apprenticeship,"Device install counts."
Sprinkler Fitter,Apprenticeship,"Labeling and as-built notes."
Sprinkler Fitter,Job,"Install per plan; hanger/device counts."
Sprinkler Fitter,Job,"Hydro test documentation."
Sprinkler Fitter,Job,"Labeling completed."
Sprinkler Fitter,Job,"Cleanup and protection."
Sprinkler Fitter,Job,"Punch items tracked."
High Voltage – Outside Lineman,Apprenticeship,"Learn pole safety, climbing basics, and hand signals; practice logs."
High Voltage – Outside Lineman,Apprenticeship,"Hardware/storm kits staging and checks."
High Voltage – Outside Lineman,Apprenticeship,"Drop-zone control checklist."
High Voltage – Outside Lineman,Apprenticeship,"Chainsaw maintenance logs (where applicable)."
High Voltage – Outside Lineman,Apprenticeship,"CDL/medical card preparation notes."
High Voltage – Outside Lineman,Job,"Assist with setting hardware; count and verify."
High Voltage – Outside Lineman,Job,"Maintain exclusion zones and signal logs."
High Voltage – Outside Lineman,Job,"PPE checks and tailboards recorded."
High Voltage – Outside Lineman,Job,"Cleanup and staging."
High Voltage – Outside Lineman,Job,"Practice climbs documented."
Power Line Clearance Tree Trimmer,Apprenticeship,"Learn electrical hazard awareness basics and minimum approach distances; practice logs."
Power Line Clearance Tree Trimmer,Apprenticeship,"Rigging and hand-signal drills recorded."
Power Line Clearance Tree Trimmer,Apprenticeship,"Chainsaw inspection/maintenance logs."
Power Line Clearance Tree Trimmer,Apprenticeship,"Brush and debris management to plan."
Power Line Clearance Tree Trimmer,Apprenticeship,"Storm-readiness kit checks."
Power Line Clearance Tree Trimmer,Job,"Assist with cuts and lowers; control zone maintained."
Power Line Clearance Tree Trimmer,Job,"Communicate using approved signals; logs."
Power Line Clearance Tree Trimmer,Job,"Maintain tool inspections and chain records."
Power Line Clearance Tree Trimmer,Job,"Cleanup and egress maintained."
Power Line Clearance Tree Trimmer,Job,"Daily tailboard notes recorded."
